text,sarcastic
The only thing I got from college is a caffeine addiction,1
I love it when professors draw a big question mark next to my answer on an exam because I'm always like yeah I don't either ¯\_(ツ)_/¯,1
Remember the hundred emails from companies when Covid started getting real? I've gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,1
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,1
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,1
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1
Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that's her !!!,1
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd",1
See Brexit is going well,1
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1
do i just blast maneskin to get hyped for my osce or??,1
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",1
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1
My eldest is having a wild Friday night out. She's going to bingo. 😂,1
"Whoever's toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",1
gaslight gatekeep girl boss,1
I was only in Taylor Swift's top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",1
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,1
"Oh my goodness. It's the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",1
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it's okay, my £3 delivery fee is being refunded though 👊🏻",1
teams is down what a shame I can't do my assignments 👉🏽👈🏽,1
@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1
Not telling anyone how I voted in case it doesn't come true #EUref,1
just wondering how to get my diss down by 1500 words .. such fun,1
It's been a blissful 2.5 hours of sleep tonight,1
Falling asleep at your laptop is always fun,1
Trying to know all this history tonight is gonna kill me,1
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1
Nice to be compared to a brick wall 😂,1
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1
if 2020 was a nose it'd be mine 🐦,1
Would anyone like to give me some money? #FinDom,1
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,1
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1
ITS COMING HOOOOOME,1
i wish i could tap in to the government bank account🙄🙄🙄,1
90% of adulthood is just refilling your Brita pitcher.,1
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",1
Where is the Chancellor? Please check the back of your sofas.,1
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1
going to be running on three hours of sleep at work tonight! so excited!!!,1
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it's a disgrace and not what we should be promoting to the kids.",1
i'm now reading 4 books at once what could go wrong 🧡,1
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,1
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can't wait for part 2. 
#murderhornets",1
"Got locked out of Twitter for saying it's embarrassing to be an arsenal fan. That's not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",1
"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",1
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1
"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",1
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1
"Wizkid is the king, ok lol",1
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",1
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1
Social Care for the young is basically a bath board and bed rest and your done.,1
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,1
JUSTICE HAS BEEN DONE.,1
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1
help! i'm being haunted by dead people! (my dissertations),1
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,1
Billy Gunn sorta relevant for the first time in years...,1
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1
"So we actually have to do hot girl summer without 1989 Taylor's version., I'm sick",1
"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",1
considering crowd surfing the next time the hallways are too packed,1
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a si love it when professors draw a big question mark next to my answer on an exam because i'm always like yeah i do not either \_()_/,1,love like
s new shed!,1
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,1
@WalesOnline Riveting news.,1
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I'm bout it...
Yeah they were talking about doing to the dells. I'll take my god damn presents thank you very much",1
okay but like the say so song ain't that bad. I'm unironically jam to it lmao,1
"if you see me crying in the self-service car wash in my rosati's uniform, no you didn't ❤️",1
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,1
love living in a capitalist society where i look forward to getting a surgery where i'm legit GETTING AN INTERNAL BODY PART REMOVED bc it means i'll get a few days off from work xoxo,1
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1
"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",1
absolutely love waking up to the fire alarm at 7 am 😍,1
fully vaxxed feeling very girlboss,1
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",1
The typhoon flew over me today absolutely fuming they forgot to bomb me,1
love getting assignments at 6:25pm on a Friday!!,1
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1
@rits_meg @freedomsenpai hot loli,1
Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don't know her,1
Ah gotta love that Friday morning burnt out feeling 🌄,1
@PFTompkins Her family should definitely not seek mental health guidance.  😬,1
"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you're super observant. Do you have 20/20 vision?”",1
Been trying to get my boyfriends attention. Let's see how long it takes for him to see this tweet tho.,1
My work email isn't working so I can just log off for the day right? 🙄,1
watching olympic womens beach volleyball for the plot,1
there's no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,1
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1
how do I get my boyfriend in a maid costume?,1
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1
Wtf is a Justin Herbert,1
"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",1
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1
2 busy working 2 care,1
Update: they've finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,1
